CATALOG_NAME,SCHEMA_NAME
PRD_CMW_A1923,PCMWPRSTB_PRIV
PRD_CMW_A1923,PCMWPRSTU_ALIM
PRD_CMW_A1923,PCMWPRSTU_DAS
PRD_CMW_A1923,PCMWPRSTU_MAP_ALIM
PRD_CMW_A1923,PCMWPRSTU_ME
PRD_CMW_A1923,PCMWPRSTU_MSTR
PRD_CMW_A1923,PCMWPRSTU_MSTR_BDDFSUR
PRD_CMW_A1923,PCMWPRSTU_MSTR_CFERS
PRD_CMW_A1923,PCMWPRSTU_MSTR_CLICOM
PRD_CMW_A1923,PCMWPRSTU_MSTR_CONVTIT
PRD_CMW_A1923,PCMWPRSTU_MSTR_COPERNIC
PRD_CMW_A1923,PCMWPRSTU_MSTR_CTCOM
PRD_CMW_A1923,PCMWPRSTU_MSTR_MRP
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILACT
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILBIL
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILCAR
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILCMWREF
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILCO
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILCPN
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILDRP
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILEDB
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILFID
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILFIN
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILFINREQ
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILGLF
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILIBP
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILICP
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILINSAT
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILIPPI
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILISDIV
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILLC
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILMKT
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILPAR
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILPER
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILPPM
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILRISK
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILSBG
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILSRA
PRD_CMW_A1923,PCMWPRSTU_MSTR_PILTEL
PRD_CMW_A1923,PCMWPRSTU_MSTR_PRIV
PRD_CMW_A1923,PCMWPRSTU_MSTR_PRIV2
PRD_CMW_A1923,PCMWPRSTU_MSTR_PRIVSUR
PRD_CMW_A1923,PCMWPRSTU_MSTR_SEA
PRD_CMW_A1923,PCMWPRSTU_PARM
PRD_CMW_A1923,PCMWPRSTU_PGE
PRD_CMW_A1923,PCMWPRSTU_PUBLI
PRD_CMW_A1923,PCMWPRSTU_SAV
PRD_CMW_A1923,PCMWPRSTU_SEL
PRD_CMW_A1923,PCMWPRSTV_APP
PRD_CMW_A1923,PCMWPRSTV_BMP
PRD_CMW_A1923,PCMWPRSTV_BRB
PRD_CMW_A1923,PCMWPRSTV_CFO
PRD_CMW_A1923,PCMWPRSTV_CIR
PRD_CMW_A1923,PCMWPRSTV_CMW
PRD_CMW_A1923,PCMWPRSTV_CVP
PRD_CMW_A1923,PCMWPRSTV_DRP
PRD_CMW_A1923,PCMWPRSTV_EDC
PRD_CMW_A1923,PCMWPRSTV_ERT
PRD_CMW_A1923,PCMWPRSTV_FDC
PRD_CMW_A1923,PCMWPRSTV_FMB
PRD_CMW_A1923,PCMWPRSTV_HUP
PRD_CMW_A1923,PCMWPRSTV_MDV
PRD_CMW_A1923,PCMWPRSTV_MKI
PRD_CMW_A1923,PCMWPRSTV_MRX
PRD_CMW_A1923,PCMWPRSTV_MSTR
PRD_CMW_A1923,PCMWPRSTV_MSTR_PRIV
PRD_CMW_A1923,PCMWPRSTV_ORC
PRD_CMW_A1923,PCMWPRSTV_PBU
PRD_CMW_A1923,PCMWPRSTV_PEE
PRD_CMW_A1923,PCMWPRSTV_PLT
PRD_CMW_A1923,PCMWPRSTV_PPO
PRD_CMW_A1923,PCMWPRSTV_PRIV
PRD_CMW_A1923,PCMWPRSTV_PRIV_DRP
